84,-1.75,0.13,1,-1,36.85,-1,0,-128,-1,-5
84,1.03,0.44,1,-2,8.05,-2,0,-128,-1,-5
84,-0.58,1.24,1,0,-5.1,0,0,-128,-1,-5
84,-6.93,2.46,1,8,-31.2,8,0,-128,-1,-5
84,-7.03,2.86,1,0,-21.02,0,0,0,-1,0
84,-2.06,0.56,1,-7,26.11,-7,0,0,-1,0
84,-1.34,-0.67,1,-4,18.21,-4,0,0,-1,0
84,-3.4,0.15,1,2,0,2,0,0,-1,0
84,-1.5,0.38,1,-2,3.5,-2,0,0,-1,0
151,2.21,-0.2,1,-7,17.16,-7,0,0,-1,0
157,1.6,-0.58,1,3,20.14,3,0,0,-1,0
84,-0.98,0.74,1,0,-17.99,0,0,0,-1,0
84,-0.12,1.52,1,-4,-17.64,-4,0,0,-1,0
84,4.05,1.19,1,-14,-16.98,-14,0,0,-1,0
84,2.48,2.3,1,-1,-39.66,-1,0,0,-1,0
84,-2.68,1.77,1,3,-21.15,3,0,0,-1,0
84,-3.49,0.92,1,-1,-17.97,-1,0,0,-1,0
84,0.38,1.43,1,-6,-30.09,-6,0,0,-1,0
84,1.75,0.96,1,-2,-15.39,-2,0,0,-1,0
157,-1.47,0.77,1,1,-24.69,1,0,0,-1,0
169, ,0,0,-1,,,,,,0
121,-2.74,0.3,1,0,-7.78,0,0,0,-1,0
84,-1.14,-0.8,1,-4,13.32,-4,0,0,-1,0
84,0.63,-2.04,1,-2,18.54,-2,0,0,-1,0
84,0.17,0.09,1,0,-29.39,0,0,0,-1,0
84,-0.45,1.3,1,0,-29.7,0,0,-128,-1,-5
84,-1.73,0.61,1,0,-11.98,0,0,-128,47,-5
84,-3.13,0.55,1,4,-17.4,4,0,-128,44,-5
149,-4.21,0.13,1,1,-5.25,1,0,-128,44,-5
143,-6.85,0.49,1,3,-8.41,3,0,-115,0,-4.4921875
84,-6.8,2.13,1,0,-25.94,0,0,0,-1,0
84,-5.19,1.68,1,0,-4.86,0,0,0,-1,0
84,-3.29,1.09,1,-1,-12.49,-1,0,0,-1,0
84,-0.54,-0.23,1,-3,4.73,-3,0,0,-1,0
169,1.76,-0.44,1,-5,-7.42,-5,0,0,-1,0
169,1.83,1.39,1,0,-44.31,0,0,0,-1,0
84,0.57,1.39,1,0,-24.23,0,0,0,-1,0
84, ,0,0,-1,,,,,,0
84,0.55,-0.25,1,-3,0,-3,0,0,-1,0
84, ,0,0,-1,,,,,,0
84,-0.65,0.71,1,0,-30.06,0,0,0,-1,0
84,-2.29,-0.34,1,1,11.04,1,0,0,-1,0
84,-1.77,-1.18,1,0,14.53,0,0,0,-1,0
84,0.29,-1.13,1,-3,3.16,-3,0,0,-1,0
84,1.22,-0.24,1,-2,-19.35,-2,0,0,-1,0
84,-0.58,1.47,1,0,-38.92,0,0,0,-1,0
84,-2.43,0.8,1,2,-4.77,2,0,0,-1,0
95,-2.19,-0.69,1,0,3.02,0,0,0,-1,0
165,-0.41,-0.05,1,-1,-20.14,-1,0,0,-1,0
165,0.16,0.96,1,1,-34.55,1,0,0,-1,0
163, ,0,0,-1,,,,,,0
84,-2.15,-0.27,1,2,1.43,2,0,0,-1,0
84,-1.97,0.6,1,1,-41.83,1,0,0,127,0
84,-1.75,1.23,1,1,-42.02,1,0,-17,127,-0.6640625
84,-1.46,-0.08,1,1,-8.54,1,0,-16,127,-0.625
84,-1.3,2.28,1,0,-37.85,0,0,-12,127,-0.46875
84,-1.03,5.03,1,1,-42.08,1,0,-11,127,-0.4296875
147,-1.87,3.64,1,2,3.46,2,0,-11,127,-0.4296875
128,-1.26,3.82,1,0,-15.57,0,0,0,87,0
84,0.02,4.91,1,0,-27.14,0,0,0,-1,0
84,-0.59,5.08,1,2,-21.41,2,0,0,-1,0
84,-1.15,3.71,1,1,6.65,1,0,0,-1,0
84,-0.32,-0.59,1,0,56.06,0,0,0,-1,0
84,0.66,-3.29,1,0,50.72,0,0,0,-1,0
169,0.69,-2.38,1,0,32.27,0,0,0,-1,0
169,-0.84,-2.65,1,4,53.8,4,0,0,-1,0
139,-1.58,-2.7,1,1,54.25,1,0,0,-1,0
84,0.76,-3.91,1,0,91.3,0,0,0,-1,0
84,2.63,-5.46,1,-1,106.49,-1,0,0,-1,0
84,2.51,-4.99,1,2,80.82,2,0,-36,-1,-1.40625
84,-0.27,0.78,1,5,-38.18,5,0,-128,67,-5
84,-1.66,4.53,1,3,-38.52,3,0,-128,65,-5
128,-1.43,1.2,1,0,50.77,0,0,-128,65,-5
169,-1.9,0.52,1,0,26.93,0,0,-128,65,-5
169,-4.59,4.74,1,5,-44.32,5,0,-128,65,-5
84,-6.92,5.25,1,6,-13.46,6,0,-128,31,-5
