85, 0.78, 1.23, 1.00, 1.00, 14.51, 1.00, 0, -128, 127
89, , 0, -128, 127
146, -5.27, 5.40, 1.00, 2.00, -61.25, 2.00, 0, -128, 127
153, -6.49, 5.27, 1.00, 3.00, 10.20, 3.00, 0, -128, 127
121, , 0, -128, 127
84, , 0, -128, 127
84, -5.02, 1.86, 1.00, 0.00, 9.23, 0.00, 0, -5, -1
84, -11.08, 5.76, 1.00, 11.00, 16.63, 11.00, 0, -5, -1
84, -5.64, 2.98, 1.00, -12.00, 66.78, -12.00, 0, -5, -1
84, 1.29, 1.95, 1.00, -6.00, 2.00, -6.00, 0, -5, -1
84, , 0, -5, -1
84, , 0, -5, -1
84, -0.55, -1.95, 1.00, 2.00, 41.16, 2.00, 0, -5, -3
84, 0.73, -0.27, 1.00, -2.00, 16.14, -2.00, 0, -8, -128
84, , 0, -25, -128
84, 3.35, -1.76, 1.00, -4.00, 21.15, -4.00, 0, -5, -78
84, 1.98, 0.91, 1.00, 0.00, 3.40, 0.00, 0, -5, -1
84, , 0, -128, 127
99, 3.83, -1.65, 1.00, -6.00, -39.39, -6.00, 0, -128, 127
98, , 0, -128, 127
95, 0.32, 1.63, 1.00, 3.00, -29.84, 3.00, 0, -65, 127
99, -2.09, 1.83, 1.00, -3.00, 37.87, -3.00, 0, -24, 125
134, , 0, -24, 125
148, -4.89, 7.81, 1.00, 2.00, -33.69, 2.00, 0, -24, 125
100, -7.20, 2.49, 1.00, 6.00, 97.88, 6.00, 0, -24, 124
84, -6.77, 8.48, 1.00, 12.00, -166.32, 12.00, 0, -5, -1
84, , 0, -5, -1
84, -5.91, 9.26, 1.00, 4.00, -22.33, 4.00, 0, -5, -1
84, -3.39, 1.97, 1.00, 2.00, 92.06, 2.00, 0, -5, -1
84, 3.44, 0.46, 1.00, -6.00, 8.55, -6.00, 0, 120, -1
84, 2.34, -0.34, 1.00, 0.00, 22.19, 0.00, 0, 122, -104
84, -0.93, -1.48, 1.00, 1.00, 39.75, 1.00, 0, 122, -105
84, 1.32, -0.93, 1.00, -2.00, 15.94, -2.00, 0, 98, -1
84, 7.72, -2.60, 1.00, -10.00, 48.91, -10.00, 0, -5, -1
84, 5.54, -5.64, 1.00, 1.00, 60.03, 1.00, 0, -109, 32
153, 0.51, -0.71, 1.00, 7.00, -45.82, 7.00, 0, -128, 127
168, -1.78, 2.71, 1.00, 6.00, -25.10, 6.00, 0, -128, 127
96, , 0, -128, 127
84, -3.27, -0.63, 1.00, 2.00, 60.85, 2.00, 0, -5, 44
84, , 0, -5, -1
84, -7.63, 5.84, 1.00, 5.00, -11.85, 5.00, 0, -5, -1
84, , 0, -5, -1
84, -4.29, 3.27, 1.00, 2.00, 28.32, 2.00, 0, -5, -1
84, 1.06, -0.57, 1.00, -3.00, 52.22, -3.00, 0, -5, -1
84, -1.66, 1.99, 1.00, 8.00, -21.24, 8.00, 0, -5, -1
84, -2.87, 2.28, 1.00, 3.00, -20.55, 3.00, 0, -5, -1
84, 0.52, -0.31, 1.00, 0.00, 44.23, 0.00, 0, -5, -1
84, 0.71, -1.54, 1.00, 3.00, 20.21, 3.00, 0, -5, -1
84, -1.52, 1.81, 1.00, 6.00, -57.08, 6.00, 0, -5, -1
130, -2.53, 1.22, 1.00, 6.00, 7.23, 6.00, 0, -5, -1
140, , 0, -5, -1
139, 0.76, -0.54, 1.00, 1.00, -1.88, 1.00, 0, -5, -1
84, -0.81, 1.23, 1.00, 7.00, -25.47, 7.00, 0, -5, -1
84, -2.69, 2.27, 1.00, 10.00, -32.50, 10.00, 0, -5, -1
